,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1991,Console,2003.0,Sports,Activision,0.54,0.14,0.0,0.02,0.7
1992,Handheld,2008.0,Simulation,Electronic Arts,0.32,0.31,0.0,0.07,0.7
1993,Console,2001.0,Action,Activision,0.52,0.16,0.0,0.02,0.7
1994,Console,2007.0,Sports,Electronic Arts,0.65,0.0,0.0,0.05,0.7
1995,Console,2003.0,Shooter,Sony Computer Entertainment,0.34,0.27,0.0,0.09,0.7
1996,Handheld,2011.0,Simulation,Activision,0.54,0.1,0.0,0.06,0.7
1997,Console,2004.0,Sports,Electronic Arts,0.54,0.14,0.0,0.02,0.7
1998,Console,1997.0,Sports,Electronic Arts,0.39,0.27,0.0,0.05,0.7
1999,Console,2009.0,Shooter,Activision,0.28,0.3,0.0,0.12,0.7
2000,Handheld,2010.0,Simulation,Electronic Arts,0.39,0.25,0.0,0.06,0.7
2001,Console,2014.0,Action,Activision,0.39,0.25,0.0,0.06,0.7
2002,Console,2010.0,Action,Ubisoft,0.19,0.36,0.01,0.13,0.7
2003,Handheld,2001.0,Strategy,Nintendo,0.5,0.19,0.0,0.01,0.7
2004,Handheld,2009.0,Simulation,THQ,0.43,0.2,0.0,0.06,0.7
2005,Handheld,2005.0,Platform,Sony Computer Entertainment,0.52,0.01,0.12,0.05,0.7
2006,Console,2000.0,Racing,Electronic Arts,0.34,0.27,0.0,0.09,0.7
2007,Console,2012.0,Action,Sony Computer Entertainment,0.13,0.4,0.0,0.16,0.7
2008,Console,2000.0,Sports,Electronic Arts,0.39,0.26,0.0,0.05,0.7
2009,Console,2000.0,Simulation,Namco Bandai Games,0.16,0.13,0.36,0.04,0.7
2010,Console,2015.0,Action,Konami Digital Entertainment,0.21,0.18,0.22,0.08,0.7
2011,Console,2010.0,Sports,Ubisoft,0.38,0.26,0.0,0.06,0.7
2012,Console,2008.0,Sports,Sony Computer Entertainment,0.64,0.0,0.0,0.05,0.7
2013,Handheld,2004.0,Adventure,Nintendo,0.37,0.14,0.17,0.01,0.7
2014,Console,1994.0,Role-Playing,Nintendo,0.0,0.0,0.7,0.0,0.7
2015,Console,2014.0,Sports,Take-Two Interactive,0.38,0.26,0.0,0.06,0.69
2016,Console,2009.0,Action,Activision,0.42,0.21,0.0,0.06,0.69
2017,Handheld,2007.0,Action,Konami Digital Entertainment,0.26,0.01,0.26,0.17,0.69
2018,Console,2007.0,Action,Activision,0.54,0.1,0.0,0.06,0.69
2019,Console,1997.0,Racing,Electronic Arts,0.39,0.26,0.0,0.05,0.69
2020,Handheld,2006.0,Racing,THQ,0.64,0.0,0.0,0.05,0.69
2021,Console,2014.0,Action,Activision,0.24,0.33,0.0,0.12,0.69
2022,Handheld,2004.0,Misc,Nintendo,0.5,0.18,0.0,0.01,0.69
2023,Console,1984.0,Platform,Namco Bandai Games,0.0,0.0,0.69,0.0,0.69
2024,Console,1993.0,Sports,Namco Bandai Games,0.0,0.0,0.69,0.0,0.69
2025,Console,1998.0,Sports,Sony Computer Entertainment,0.38,0.26,0.0,0.05,0.69
2026,Console,2010.0,Platform,Sony Computer Entertainment,0.52,0.09,0.01,0.07,0.69
2027,Console,2013.0,Action,Namco Bandai Games,0.0,0.2,0.42,0.07,0.69
2028,PC,2013.0,Action,Ubisoft,0.22,0.38,0.0,0.1,0.69
2029,Console,2002.0,Action,Electronic Arts,0.53,0.14,0.0,0.02,0.69
2030,Console,2011.0,Racing,Electronic Arts,0.2,0.36,0.0,0.13,0.69
2031,Console,2003.0,Action,Electronic Arts,0.53,0.14,0.0,0.02,0.69
2032,Handheld,2015.0,Misc,Nintendo,0.01,0.61,0.02,0.04,0.69
2033,Console,2007.0,Racing,THQ,0.55,0.08,0.0,0.06,0.69
2034,PC,2011.0,Simulation,Electronic Arts,0.27,0.32,0.0,0.1,0.69
2035,Handheld,2004.0,Action,Activision,0.49,0.18,0.0,0.01,0.68
2036,XOne,2014.0,Shooter,Electronic Arts,0.39,0.23,0.0,0.06,0.68
2037,Console,2012.0,Action,Nintendo,0.34,0.0,0.33,0.02,0.68
2038,Console,2009.0,Action,Activision,0.6,0.03,0.0,0.05,0.68
2039,Console,2011.0,Role-Playing,Nintendo,0.32,0.13,0.18,0.04,0.68
2040,Console,2003.0,Sports,Electronic Arts,0.62,0.04,0.0,0.02,0.68
2041,Console,2008.0,Action,Sega,0.32,0.25,0.0,0.11,0.68
2042,Console,2007.0,Platform,Activision,0.26,0.29,0.02,0.12,0.68
2043,Console,2004.0,Sports,Electronic Arts,0.63,0.02,0.0,0.03,0.68
2044,Console,2013.0,Platform,Ubisoft,0.26,0.33,0.03,0.06,0.68
2045,Console,2005.0,Action,Ubisoft,0.57,0.02,0.0,0.09,0.68
2046,Handheld,2007.0,Sports,Sony Computer Entertainment,0.21,0.11,0.28,0.08,0.68
2047,Handheld,2010.0,Role-Playing,Nintendo,0.32,0.0,0.34,0.02,0.68
2048,Console,1998.0,Role-Playing,Konami Digital Entertainment,0.15,0.1,0.38,0.04,0.68
2049,XOne,2015.0,Racing,Electronic Arts,0.3,0.33,0.0,0.06,0.68
2050,Handheld,2007.0,Racing,THQ,0.63,0.01,0.0,0.05,0.68
2051,Console,2005.0,Sports,Electronic Arts,0.29,0.38,0.0,0.01,0.68
2052,Console,2006.0,Shooter,Ubisoft,0.55,0.04,0.04,0.05,0.68
2053,Console,2004.0,Fighting,Electronic Arts,0.51,0.15,0.0,0.02,0.68
2054,Console,2006.0,Racing,Sony Computer Entertainment,0.28,0.22,0.11,0.07,0.68
2055,PC,2008.0,Role-Playing,Electronic Arts,0.0,0.59,0.0,0.09,0.68
2056,Handheld,2008.0,Misc,Nintendo,0.13,0.52,0.0,0.02,0.67
2057,Console,2003.0,Shooter,Activision,0.49,0.16,0.0,0.02,0.67
2058,XOne,2013.0,Racing,Electronic Arts,0.45,0.17,0.0,0.05,0.67
2059,Console,2007.0,Shooter,Take-Two Interactive,0.2,0.34,0.0,0.13,0.67
2060,Console,1998.0,Sports,Electronic Arts,0.37,0.25,0.0,0.04,0.67
2061,Console,1996.0,Shooter,Konami Digital Entertainment,0.37,0.25,0.0,0.04,0.67
2062,Console,2006.0,Simulation,Ubisoft,0.35,0.22,0.0,0.1,0.67
2063,Console,2004.0,Fighting,Electronic Arts,0.46,0.18,0.0,0.03,0.67
2064,Console,2010.0,Sports,THQ,0.49,0.13,0.0,0.05,0.67
2065,Console,1998.0,Action,Sony Computer Entertainment,0.37,0.25,0.0,0.04,0.67
2066,Console,2005.0,Shooter,Activision,0.48,0.17,0.0,0.02,0.67
2067,Console,2008.0,Racing,Electronic Arts,0.27,0.32,0.0,0.07,0.67
2068,Console,2008.0,Misc,Namco Bandai Games,0.0,0.0,0.67,0.0,0.67
2069,PC,2015.0,Role-Playing,Namco Bandai Games,0.2,0.42,0.0,0.05,0.67
2070,Handheld,2005.0,Sports,Sega,0.16,0.36,0.0,0.14,0.67
2071,Handheld,2007.0,Action,THQ,0.22,0.28,0.0,0.16,0.67
2072,Console,1999.0,Role-Playing,Sony Computer Entertainment,0.19,0.13,0.31,0.04,0.67
2073,Console,2008.0,Sports,Ubisoft,0.0,0.66,0.0,0.01,0.67
2074,Console,2010.0,Action,Konami Digital Entertainment,0.42,0.18,0.01,0.05,0.67
2075,PC,2013.0,Shooter,Take-Two Interactive,0.28,0.3,0.0,0.08,0.67
2076,Console,2008.0,Puzzle,Ubisoft,0.18,0.41,0.0,0.08,0.67
2077,Console,2008.0,Action,Activision,0.3,0.29,0.01,0.07,0.67
2078,PC,2008.0,Strategy,Electronic Arts,0.01,0.64,0.0,0.02,0.67
2079,Console,2003.0,Platform,THQ,0.33,0.25,0.0,0.09,0.67
2080,Handheld,2006.0,Fighting,THQ,0.33,0.2,0.0,0.14,0.67
2081,Handheld,2010.0,Misc,Ubisoft,0.0,0.58,0.0,0.09,0.67
2082,Console,2012.0,Sports,Electronic Arts,0.51,0.11,0.0,0.05,0.67
2083,Console,2014.0,Shooter,Take-Two Interactive,0.25,0.26,0.05,0.11,0.67
2084,PC,2010.0,Simulation,Electronic Arts,0.01,0.53,0.0,0.12,0.67
2085,Console,1999.0,Simulation,Take-Two Interactive,0.37,0.25,0.0,0.04,0.66
2086,Console,2004.0,Sports,Electronic Arts,0.49,0.15,0.0,0.02,0.66
2087,Console,2008.0,Sports,Ubisoft,0.31,0.24,0.01,0.1,0.66
2088,Console,2007.0,Sports,Activision,0.55,0.02,0.0,0.09,0.66
2089,Console,2003.0,Sports,Sony Computer Entertainment,0.32,0.25,0.0,0.08,0.66
2090,Console,1998.0,Sports,Electronic Arts,0.37,0.25,0.0,0.04,0.66
2091,Console,2001.0,Role-Playing,Electronic Arts,0.37,0.25,0.0,0.04,0.66
2092,Console,2002.0,Sports,Electronic Arts,0.32,0.25,0.0,0.08,0.66
2093,Console,2003.0,Action,THQ,0.48,0.16,0.0,0.02,0.66
2094,Console,2009.0,Sports,Electronic Arts,0.51,0.1,0.0,0.06,0.66
2095,Console,2000.0,Sports,Konami Digital Entertainment,0.0,0.0,0.66,0.0,0.66
2096,Console,2005.0,Platform,Activision,0.52,0.13,0.0,0.02,0.66
2097,Console,2012.0,Puzzle,Namco Bandai Games,0.0,0.0,0.66,0.0,0.66
2098,Console,2013.0,Platform,Ubisoft,0.14,0.38,0.0,0.14,0.66
2099,PC,2013.0,Misc,Ubisoft,0.35,0.24,0.0,0.07,0.66
2100,Console,1998.0,Role-Playing,Sony Computer Entertainment,0.37,0.25,0.0,0.04,0.66
2101,PC,2010.0,Strategy,Sega,0.02,0.52,0.0,0.12,0.66
2102,Handheld,2007.0,Platform,Nintendo,0.28,0.02,0.33,0.03,0.66
2103,Console,2003.0,Simulation,Electronic Arts,0.43,0.2,0.0,0.03,0.66
2104,Console,2008.0,Sports,Electronic Arts,0.34,0.22,0.0,0.1,0.66
2105,Console,1982.0,Action,Activision,0.62,0.04,0.0,0.01,0.66
2106,Console,2008.0,Strategy,Nintendo,0.29,0.14,0.19,0.04,0.66
2107,Console,2004.0,Role-Playing,Konami Digital Entertainment,0.17,0.13,0.3,0.05,0.66
2108,Handheld,2010.0,Action,Namco Bandai Games,0.03,0.0,0.62,0.0,0.66
2109,Console,1998.0,Misc,Sony Computer Entertainment,0.12,0.08,0.41,0.04,0.66
2110,Console,2005.0,Shooter,Ubisoft,0.49,0.14,0.0,0.02,0.66
2111,Handheld,2009.0,Sports,Electronic Arts,0.5,0.08,0.0,0.08,0.66
2112,Handheld,2007.0,Action,Activision,0.23,0.27,0.0,0.16,0.66
2113,Handheld,2007.0,Misc,Namco Bandai Games,0.0,0.0,0.66,0.0,0.66
2114,Console,2012.0,Sports,Electronic Arts,0.33,0.22,0.0,0.1,0.65
2115,Console,2008.0,Action,Activision,0.24,0.0,0.0,0.41,0.65
2116,Console,2008.0,Strategy,Ubisoft,0.32,0.22,0.01,0.1,0.65
2117,Console,2008.0,Sports,Electronic Arts,0.35,0.23,0.0,0.07,0.65
2118,Console,2003.0,Racing,Nintendo,0.41,0.11,0.12,0.02,0.65
2119,Handheld,2008.0,Platform,THQ,0.29,0.22,0.0,0.14,0.65
2120,Handheld,2004.0,Platform,Nintendo,0.25,0.09,0.3,0.01,0.65
2121,Handheld,2009.0,Action,THQ,0.31,0.28,0.0,0.07,0.65
2122,Console,2002.0,Racing,Ubisoft,0.32,0.25,0.0,0.08,0.65
2123,Handheld,2005.0,Misc,THQ,0.47,0.17,0.0,0.01,0.65
2124,Handheld,2009.0,Puzzle,THQ,0.45,0.14,0.0,0.06,0.65
2125,Console,2009.0,Sports,Electronic Arts,0.39,0.2,0.0,0.06,0.65
2126,Handheld,2003.0,Strategy,Nintendo,0.47,0.17,0.0,0.01,0.65
2127,Handheld,2008.0,Role-Playing,Nintendo,0.31,0.03,0.27,0.03,0.65
2128,Console,2007.0,Misc,Sony Computer Entertainment,0.0,0.5,0.0,0.15,0.65
2129,Console,1987.0,Action,Activision,0.6,0.04,0.0,0.01,0.65
2130,Console,2005.0,Action,Electronic Arts,0.54,0.02,0.0,0.09,0.65
2131,Console,2007.0,Misc,Sony Computer Entertainment,0.0,0.05,0.0,0.6,0.65
2132,Handheld,2007.0,Racing,THQ,0.35,0.18,0.0,0.12,0.65
2133,Console,2014.0,Role-Playing,Electronic Arts,0.26,0.23,0.05,0.1,0.65
2134,Console,2011.0,Misc,Ubisoft,0.39,0.2,0.0,0.06,0.65
2135,Handheld,2008.0,Misc,Namco Bandai Games,0.0,0.0,0.65,0.0,0.65
2136,PC,2013.0,Shooter,Electronic Arts,0.17,0.39,0.0,0.09,0.64
2137,Handheld,2007.0,Simulation,THQ,0.6,0.0,0.0,0.05,0.64
2138,Console,2009.0,Action,Electronic Arts,0.13,0.07,0.0,0.44,0.64
2139,XOne,2014.0,Role-Playing,Activision,0.35,0.24,0.0,0.05,0.64
2140,Console,2013.0,Shooter,Sega,0.2,0.31,0.0,0.13,0.64
2141,Console,2003.0,Shooter,Take-Two Interactive,0.47,0.15,0.0,0.02,0.64
2142,Console,2010.0,Fighting,Namco Bandai Games,0.49,0.09,0.01,0.05,0.64
2143,Console,2004.0,Shooter,Electronic Arts,0.54,0.02,0.0,0.09,0.64
2144,XOne,2016.0,Sports,Take-Two Interactive,0.54,0.04,0.0,0.07,0.64
2145,Console,2012.0,Strategy,Take-Two Interactive,0.36,0.23,0.0,0.05,0.64
2146,Handheld,2011.0,Platform,Ubisoft,0.23,0.35,0.0,0.06,0.64
2147,Console,2004.0,Shooter,Electronic Arts,0.43,0.19,0.0,0.02,0.64
2148,Console,2003.0,Platform,Activision,0.31,0.24,0.0,0.08,0.64
2149,Console,2007.0,Racing,THQ,0.25,0.32,0.0,0.07,0.64
2150,Console,2005.0,Sports,Electronic Arts,0.57,0.04,0.0,0.03,0.64
2151,PC,2011.0,Action,Electronic Arts,0.23,0.33,0.0,0.09,0.64
2152,Console,1999.0,Platform,Konami Digital Entertainment,0.44,0.1,0.04,0.05,0.64
2153,Console,1999.0,Platform,Ubisoft,0.4,0.22,0.0,0.02,0.64
2154,Console,2009.0,Action,Electronic Arts,0.37,0.21,0.0,0.06,0.64
2155,Console,2007.0,Racing,Sega,0.07,0.43,0.0,0.14,0.64
2156,Handheld,2012.0,Action,Sony Computer Entertainment,0.26,0.2,0.09,0.1,0.64
2157,Handheld,2002.0,Misc,Konami Digital Entertainment,0.46,0.17,0.0,0.01,0.64
2158,Console,2010.0,Role-Playing,Sony Computer Entertainment,0.23,0.09,0.27,0.05,0.64
2159,Console,2009.0,Shooter,Activision,0.25,0.28,0.0,0.11,0.64
2160,Console,2005.0,Misc,Sony Computer Entertainment,0.31,0.24,0.0,0.08,0.64
2161,Console,2010.0,Misc,Sony Computer Entertainment,0.07,0.42,0.0,0.14,0.64
2162,Console,1998.0,Racing,Nintendo,0.59,0.04,0.0,0.01,0.64
2163,Console,2000.0,Sports,Electronic Arts,0.6,0.03,0.0,0.01,0.64
2164,Console,2007.0,Sports,Electronic Arts,0.56,0.02,0.01,0.05,0.64
2165,Console,2013.0,Shooter,Activision,0.46,0.12,0.0,0.05,0.64
2166,Console,2007.0,Racing,Nintendo,0.2,0.26,0.11,0.06,0.64
2167,Console,2004.0,Platform,Activision,0.31,0.24,0.0,0.08,0.64
2168,Console,2009.0,Misc,Ubisoft,0.59,0.0,0.0,0.04,0.64
2169,Console,2010.0,Shooter,Ubisoft,0.36,0.21,0.01,0.06,0.63
2170,Console,2005.0,Role-Playing,Activision,0.53,0.02,0.0,0.09,0.63
2171,Console,1997.0,Action,Sony Computer Entertainment,0.35,0.24,0.0,0.04,0.63
2172,Console,2009.0,Misc,Sony Computer Entertainment,0.08,0.12,0.0,0.44,0.63
2173,Console,2014.0,Misc,Ubisoft,0.41,0.16,0.0,0.06,0.63
2174,Console,2007.0,Racing,THQ,0.22,0.34,0.0,0.07,0.63
2175,Console,2001.0,Sports,Activision,0.41,0.19,0.0,0.03,0.63
2176,Console,1999.0,Strategy,Electronic Arts,0.35,0.24,0.0,0.04,0.63
2177,Console,2002.0,Sports,Electronic Arts,0.2,0.4,0.0,0.04,0.63
2178,Console,2005.0,Racing,Electronic Arts,0.53,0.02,0.0,0.09,0.63
2179,Console,2006.0,Sports,Activision,0.3,0.23,0.01,0.1,0.63
2180,Handheld,2004.0,Simulation,Ubisoft,0.45,0.17,0.0,0.01,0.63
2181,Console,2009.0,Misc,Activision,0.28,0.24,0.0,0.1,0.63
2182,Handheld,2008.0,Action,Sega,0.46,0.09,0.0,0.09,0.63
2183,Handheld,2012.0,Misc,Namco Bandai Games,0.0,0.0,0.63,0.0,0.63
2184,Handheld,2009.0,Action,Electronic Arts,0.21,0.35,0.0,0.07,0.63
2185,Console,1998.0,Platform,Activision,0.49,0.13,0.0,0.01,0.63
2186,Console,1991.0,Platform,Konami Digital Entertainment,0.32,0.05,0.25,0.01,0.63
2187,Console,2010.0,Misc,Activision,0.49,0.09,0.0,0.04,0.63
2188,Handheld,2012.0,Action,Activision,0.38,0.2,0.0,0.05,0.63
2189,Console,2008.0,Action,Sega,0.38,0.19,0.0,0.06,0.63
2190,Console,2007.0,Sports,Activision,0.58,0.0,0.0,0.05,0.63
2191,Console,2003.0,Fighting,Namco Bandai Games,0.0,0.0,0.63,0.0,0.63
2192,Console,2011.0,Misc,Ubisoft,0.33,0.21,0.0,0.09,0.63
2193,Handheld,2010.0,Shooter,Activision,0.54,0.05,0.0,0.04,0.63
2194,Console,2015.0,Action,Sony Computer Entertainment,0.23,0.29,0.01,0.1,0.63
2195,Console,2002.0,Platform,Sony Computer Entertainment,0.12,0.09,0.38,0.03,0.63
2196,Console,2009.0,Shooter,Nintendo,0.43,0.05,0.0,0.14,0.63
2197,Console,2009.0,Shooter,Activision,0.34,0.23,0.0,0.06,0.63
2198,PC,2011.0,Simulation,Electronic Arts,0.4,0.23,0.0,0.0,0.63
2199,XOne,2014.0,Racing,Ubisoft,0.24,0.34,0.0,0.05,0.63
2200,Handheld,2009.0,Strategy,Ubisoft,0.31,0.25,0.0,0.06,0.63
2201,Console,2012.0,Racing,Sega,0.2,0.37,0.0,0.06,0.63
2202,Console,2001.0,Sports,Electronic Arts,0.31,0.24,0.0,0.08,0.63
2203,Console,2011.0,Sports,Electronic Arts,0.4,0.17,0.0,0.05,0.63
2204,Console,2000.0,Sports,Electronic Arts,0.35,0.24,0.0,0.04,0.63
2205,Console,2009.0,Simulation,THQ,0.41,0.16,0.0,0.05,0.63
2206,Handheld,2009.0,Racing,Electronic Arts,0.26,0.29,0.0,0.07,0.63
2207,Console,2000.0,Platform,Activision,0.35,0.24,0.0,0.04,0.63
2208,Console,2002.0,Misc,Namco Bandai Games,0.48,0.13,0.0,0.02,0.63
2209,Console,1995.0,Shooter,Sega,0.0,0.0,0.62,0.0,0.62
2210,Console,2005.0,Sports,Activision,0.4,0.2,0.0,0.03,0.62
2211,Console,2010.0,Action,Ubisoft,0.3,0.26,0.0,0.06,0.62
2212,Console,2010.0,Shooter,Sega,0.21,0.22,0.11,0.09,0.62
2213,Console,2002.0,Role-Playing,Ubisoft,0.16,0.13,0.29,0.04,0.62
2214,Console,1997.0,Sports,Sony Computer Entertainment,0.35,0.24,0.0,0.04,0.62
2215,Console,2006.0,Sports,Electronic Arts,0.48,0.13,0.0,0.02,0.62
2216,PC,2014.0,Shooter,Ubisoft,0.15,0.42,0.0,0.05,0.62
2217,Console,2003.0,Sports,Electronic Arts,0.47,0.13,0.0,0.02,0.62
2218,Console,2014.0,Sports,Konami Digital Entertainment,0.1,0.23,0.22,0.08,0.62
2219,XOne,2015.0,Shooter,Take-Two Interactive,0.36,0.2,0.0,0.06,0.62
2220,Console,2004.0,Platform,THQ,0.3,0.24,0.0,0.08,0.62
2221,Handheld,2004.0,Simulation,Electronic Arts,0.37,0.22,0.0,0.03,0.62
2222,Console,1999.0,Racing,Electronic Arts,0.4,0.2,0.0,0.02,0.62
2223,Handheld,2012.0,Sports,Electronic Arts,0.17,0.34,0.02,0.09,0.62
2224,Handheld,2010.0,Misc,Activision,0.58,0.0,0.0,0.04,0.62
2225,Console,2007.0,Action,THQ,0.57,0.01,0.0,0.04,0.62
2226,Console,2014.0,Action,Konami Digital Entertainment,0.14,0.14,0.27,0.06,0.62
2227,Console,2011.0,Fighting,Namco Bandai Games,0.27,0.18,0.09,0.08,0.62
2228,Handheld,2009.0,Fighting,THQ,0.25,0.23,0.0,0.14,0.62
2229,Handheld,1995.0,Puzzle,Nintendo,0.0,0.0,0.62,0.0,0.62
2230,Console,2003.0,Misc,Namco Bandai Games,0.48,0.12,0.0,0.02,0.62
2231,Console,2014.0,Misc,Ubisoft,0.34,0.17,0.0,0.11,0.62
2232,Console,1996.0,Fighting,Sega,0.0,0.0,0.62,0.0,0.62
2233,Console,2008.0,Platform,THQ,0.29,0.26,0.0,0.07,0.62
2234,Handheld,2012.0,Adventure,Namco Bandai Games,0.0,0.0,0.62,0.0,0.62
2235,Console,2006.0,Racing,Sony Computer Entertainment,0.0,0.57,0.04,0.0,0.61
2236,Console,2008.0,Sports,Take-Two Interactive,0.56,0.0,0.0,0.05,0.61
2237,Console,2008.0,Misc,Sony Computer Entertainment,0.0,0.04,0.0,0.57,0.61
2238,Console,2015.0,Sports,Electronic Arts,0.35,0.15,0.0,0.11,0.61
2239,Console,2014.0,Shooter,Electronic Arts,0.21,0.29,0.01,0.11,0.61
2240,Handheld,2005.0,Misc,THQ,0.44,0.16,0.0,0.01,0.61
2241,Console,2010.0,Misc,Take-Two Interactive,0.35,0.21,0.0,0.05,0.61
2242,Console,2009.0,Sports,Activision,0.46,0.1,0.0,0.05,0.61
2243,Console,2013.0,Misc,Ubisoft,0.33,0.23,0.0,0.05,0.61
2244,Console,2003.0,Shooter,Namco Bandai Games,0.3,0.23,0.0,0.08,0.61
2245,Console,2010.0,Sports,Activision,0.58,0.0,0.0,0.03,0.61
2246,Handheld,2007.0,Misc,Nintendo,0.0,0.0,0.61,0.0,0.61
2247,Console,2010.0,Sports,Konami Digital Entertainment,0.09,0.44,0.0,0.07,0.61
2248,Console,2008.0,Platform,Nintendo,0.24,0.17,0.14,0.05,0.61
2249,Console,1998.0,Platform,Electronic Arts,0.34,0.23,0.0,0.04,0.61
2250,Console,2011.0,Shooter,Sega,0.09,0.07,0.42,0.03,0.61
2251,Handheld,2008.0,Simulation,Electronic Arts,0.31,0.24,0.0,0.06,0.61
2252,Console,2005.0,Shooter,Electronic Arts,0.37,0.21,0.0,0.03,0.61
2253,Console,2010.0,Misc,Namco Bandai Games,0.47,0.09,0.01,0.04,0.61
2254,Handheld,2009.0,Platform,Sony Computer Entertainment,0.18,0.27,0.0,0.15,0.61
2255,Handheld,2007.0,Simulation,Electronic Arts,0.33,0.03,0.21,0.03,0.61
2256,Handheld,2008.0,Simulation,Ubisoft,0.56,0.0,0.0,0.05,0.61
2257,Handheld,2005.0,Role-Playing,Nintendo,0.27,0.1,0.22,0.01,0.61
2258,Handheld,2002.0,Sports,Electronic Arts,0.44,0.16,0.0,0.01,0.61
2259,Handheld,2005.0,Action,Electronic Arts,0.44,0.16,0.0,0.01,0.61
2260,Console,2001.0,Sports,Electronic Arts,0.47,0.12,0.0,0.02,0.61
2261,Console,2009.0,Misc,Activision,0.33,0.21,0.0,0.06,0.61
2262,Handheld,2001.0,Action,Activision,0.43,0.16,0.0,0.01,0.61
2263,Console,1999.0,Sports,Electronic Arts,0.58,0.02,0.0,0.0,0.61
2264,Console,2007.0,Action,Activision,0.51,0.05,0.0,0.05,0.61
2265,Handheld,2002.0,Misc,Nintendo,0.43,0.16,0.0,0.01,0.61
2266,Handheld,2008.0,Simulation,Electronic Arts,0.34,0.2,0.0,0.06,0.61
2267,Console,2010.0,Fighting,Ubisoft,0.31,0.24,0.0,0.06,0.61
2268,Console,2009.0,Shooter,Ubisoft,0.3,0.24,0.0,0.06,0.61
2269,Console,2009.0,Strategy,Nintendo,0.11,0.14,0.33,0.02,0.6
2270,Handheld,2003.0,Sports,Activision,0.43,0.16,0.0,0.01,0.6
2271,Handheld,2011.0,Sports,Sony Computer Entertainment,0.19,0.11,0.25,0.06,0.6
2272,Console,2005.0,Platform,Sega,0.5,0.02,0.0,0.08,0.6
2273,Console,2001.0,Racing,Nintendo,0.4,0.1,0.09,0.02,0.6
2274,Console,2005.0,Fighting,Electronic Arts,0.42,0.16,0.0,0.02,0.6
2275,Handheld,2007.0,Action,Sega,0.28,0.25,0.0,0.06,0.6
2276,Console,2007.0,Sports,Take-Two Interactive,0.5,0.02,0.0,0.08,0.6
2277,Handheld,2009.0,Misc,Nintendo,0.18,0.19,0.2,0.04,0.6
2278,Console,2009.0,Sports,Activision,0.38,0.15,0.0,0.08,0.6
2279,Console,2011.0,Adventure,Electronic Arts,0.22,0.25,0.04,0.09,0.6
2280,Console,1995.0,Role-Playing,Konami Digital Entertainment,0.21,0.14,0.21,0.04,0.6
2281,Console,2009.0,Platform,Sony Computer Entertainment,0.13,0.18,0.0,0.29,0.6
2282,Console,2001.0,Racing,Ubisoft,0.29,0.23,0.0,0.08,0.6
2283,Handheld,2009.0,Action,Ubisoft,0.22,0.24,0.0,0.14,0.6
2284,Console,2006.0,Action,THQ,0.5,0.02,0.0,0.08,0.6
2285,Console,2000.0,Racing,Nintendo,0.37,0.08,0.14,0.01,0.6
2286,Console,1997.0,Sports,Konami Digital Entertainment,0.09,0.26,0.23,0.02,0.6
2287,Console,2013.0,Platform,Activision,0.4,0.15,0.0,0.06,0.6
2288,Console,2002.0,Fighting,Namco Bandai Games,0.0,0.0,0.56,0.04,0.6
2289,Console,1998.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.56,0.04,0.6
2290,Console,2012.0,Strategy,Take-Two Interactive,0.24,0.25,0.0,0.11,0.6
2291,Console,2010.0,Racing,Activision,0.25,0.28,0.0,0.06,0.6
2292,Console,1998.0,Adventure,Electronic Arts,0.33,0.23,0.0,0.04,0.6
2293,Console,2010.0,Sports,Electronic Arts,0.4,0.13,0.0,0.07,0.6
2294,Console,2008.0,Misc,Electronic Arts,0.34,0.2,0.0,0.06,0.6
2295,Handheld,2004.0,Racing,Ubisoft,0.31,0.22,0.0,0.06,0.6
2296,Console,2010.0,Fighting,Sony Computer Entertainment,0.29,0.22,0.0,0.09,0.6
2297,Handheld,2005.0,Puzzle,Nintendo,0.26,0.0,0.31,0.02,0.6
2298,PC,2008.0,Action,Electronic Arts,0.0,0.53,0.0,0.06,0.59
2299,Console,2004.0,Racing,THQ,0.29,0.23,0.0,0.08,0.59
2300,Handheld,2012.0,Platform,Ubisoft,0.13,0.35,0.0,0.11,0.59
2301,Console,2012.0,Sports,Sega,0.07,0.46,0.0,0.07,0.59
2302,Console,2008.0,Sports,Sega,0.15,0.38,0.0,0.07,0.59
2303,Console,2010.0,Misc,THQ,0.56,0.0,0.0,0.03,0.59
2304,Console,1997.0,Sports,Konami Digital Entertainment,0.0,0.0,0.56,0.04,0.59
2305,PC,2011.0,Action,Ubisoft,0.15,0.34,0.0,0.1,0.59
2306,Console,1998.0,Sports,Electronic Arts,0.33,0.22,0.0,0.04,0.59
2307,Console,2001.0,Misc,Sony Computer Entertainment,0.33,0.22,0.0,0.04,0.59
2308,Console,2002.0,Shooter,Electronic Arts,0.46,0.12,0.0,0.02,0.59
2309,Console,2008.0,Action,Sega,0.31,0.22,0.0,0.06,0.59
2310,PC,2011.0,Strategy,Sega,0.19,0.31,0.0,0.09,0.59
2311,Console,1998.0,Sports,Konami Digital Entertainment,0.0,0.0,0.55,0.04,0.59
2312,Console,2012.0,Action,Sega,0.0,0.0,0.59,0.0,0.59
2313,Handheld,2009.0,Action,Activision,0.21,0.24,0.0,0.14,0.59
